Precinct,DEM,REP,NP,LPN,IAP,OTH,TOTAL
1000,187,262,245,1,33,12,740
1001,354,372,411,11,46,23,1217
1002,0,0,0,0,0,0,0
1003,0,0,0,0,0,0,0
1004,890,426,1260,20,87,48,2731
1005,707,513,714,13,87,35,2069
1006,752,540,1055,12,82,54,2495
1007,1260,700,1608,26,154,89,3837
1008,1402,948,2028,29,162,106,4675
1009,474,518,432,5,78,27,1534
1010,170,104,260,6,27,10,577
1011,92,48,91,1,12,7,251
1012,454,903,551,18,109,26,2061
1014,0,1,0,0,0,0,1
1015,940,814,1088,27,139,73,3081
1016,170,236,133,4,19,9,571
1038,926,722,1243,22,106,58,3077
1039,1093,1203,1301,9,164,90,3860
1063,501,482,545,9,80,43,1660
1067,44,90,81,2,11,2,230
1072,60,174,148,1,29,6,418
1074,576,951,1218,21,133,25,2924
1302,1542,1156,1870,29,181,115,4893
1304,1282,864,1591,27,154,68,3986
1307,738,672,875,16,94,45,2440
1318,779,438,946,20,93,60,2336
1327,953,560,1082,21,125,72,2813
1328,655,547,877,12,106,45,2242
1330,582,781,765,25,104,51,2308
1331,744,526,946,26,103,50,2395
1333,534,499,620,14,74,37,1778
1334,694,559,713,12,89,48,2115
1335,532,579,606,11,82,50,1860
1336,593,343,805,19,93,39,1892
1341,1057,889,1381,38,172,70,3607
1343,319,400,426,11,52,24,1232
1344,606,429,750,9,83,35,1912
1346,820,1029,891,18,167,45,2970
1348,703,578,976,17,133,51,2458
1349,711,513,989,21,114,59,2407
1351,1251,797,1547,31,161,86,3873
1352,559,444,681,11,93,36,1824
1353,1097,675,1608,26,144,65,3615
1354,1379,933,1658,29,171,96,4266
1356,840,615,974,25,102,39,2595
1361,0,0,3,0,0,0,3
1363,0,1,2,0,0,0,3
1368,851,561,1042,19,121,58,2652
1384,136,80,201,6,20,10,453
1389,438,411,572,17,66,40,1544
1390,1428,1233,2002,36,224,82,5005
1394,843,1233,1047,20,173,58,3374
1396,1205,999,1604,33,177,81,4099
1411,906,1060,1100,29,164,51,3310
1510,145,449,274,4,51,8,931
1514,534,882,821,25,116,40,2418
1517,770,1287,960,21,161,45,3244
1518,791,1094,785,14,132,44,2860
1525,749,792,820,14,130,32,2537
1550,284,425,323,4,47,15,1098
1553,0,0,0,0,0,0,0
1602,1007,662,1132,22,137,79,3039
1605,1380,719,1619,25,163,86,3992
1606,696,992,896,18,152,57,2811
1609,795,619,1035,20,94,45,2608
1613,969,657,978,26,110,68,2808
1614,670,515,807,8,108,41,2149
1619,847,655,1076,19,107,56,2760
1621,513,331,572,15,69,32,1532
1625,1140,693,1363,32,136,86,3450
1631,950,636,942,19,115,62,2724
1632,1026,599,1246,18,141,53,3083
1633,753,302,913,11,98,54,2131
1643,166,272,415,12,38,16,919
1645,1439,746,2057,32,200,103,4577
1651,1161,951,1472,17,142,86,3829
1653,850,416,973,15,92,65,2411
1660,745,617,801,21,125,44,2353
1664,389,405,433,4,60,22,1313
1665,1,1,0,0,0,0,2
1668,1444,1619,2017,47,261,143,5531
1669,1325,962,1730,23,180,96,4316
1671,2,16,6,0,1,0,25
1672,1093,1142,1486,31,210,75,4037
1674,472,722,566,9,98,31,1898
1677,944,870,1118,20,145,69,3166
1679,306,397,315,11,53,23,1105
1680,713,639,783,18,93,42,2288
1682,1295,921,1648,36,202,95,4197
1685,321,441,435,10,75,12,1294
1688,402,423,502,8,66,25,1426
1689,793,650,899,16,117,38,2513
1695,217,432,322,12,54,12,1049
1696,1031,915,1041,28,152,48,3215
1700,1185,1024,1318,30,183,63,3803
1702,710,695,1005,21,95,60,2586
1706,63,38,83,1,5,5,195
1712,890,1014,922,21,133,47,3027
1715,725,1229,679,5,126,26,2790
1717,889,1161,658,4,158,26,2896
1719,250,316,215,3,46,6,836
1732,2,1,2,0,0,0,5
1750,363,724,785,16,83,12,1983
1751,274,774,503,8,71,13,1643
1753,47,160,71,0,8,3,289
2000,0,0,0,0,0,0,0
2002,7,16,10,0,1,0,34
2003,400,259,455,9,53,29,1205
2004,576,387,537,10,74,33,1617
2005,837,669,771,21,93,40,2431
2007,170,256,190,9,20,9,654
2008,1238,996,1276,29,175,76,3790
2009,772,348,862,15,64,64,2125
2010,28,24,13,1,3,1,70
2011,588,377,562,16,59,39,1641
2012,0,2,2,0,0,0,4
2013,538,213,693,14,61,36,1555
2014,1418,639,1466,28,145,94,3790
2015,1150,562,1282,27,127,62,3210
2016,49,74,66,2,8,6,205
2017,0,0,1,0,0,1,2
2019,75,80,100,0,12,8,275
2020,1,0,0,0,0,0,1
2021,1519,641,1698,38,157,84,4137
2023,610,287,692,9,71,33,1702
2025,1024,424,1105,15,117,70,2755
2028,1194,574,1316,14,125,73,3296
2029,84,21,90,0,6,4,205
2030,651,309,733,13,87,37,1830
2032,585,240,560,13,69,27,1494
2033,967,706,1003,22,116,56,2870
2036,1386,604,1189,23,126,66,3394
2037,1183,1271,1227,31,162,78,3952
2040,23,19,23,0,1,0,66
2042,12,3,14,0,0,2,31
2045,188,146,210,2,19,4,569
2046,1330,665,1280,19,142,70,3506
2047,486,218,497,11,44,39,1295
2048,1304,1029,1307,17,180,76,3913
2049,842,694,793,19,97,51,2496
2051,914,1084,1044,13,140,44,3239
2052,12,56,21,3,3,1,96
2053,215,606,351,16,65,20,1273
2054,675,873,835,22,101,47,2553
2055,784,1392,982,23,149,55,3385
2056,40,85,45,1,4,1,176
2057,0,0,0,0,0,0,0
2059,0,0,0,0,0,0,0
2060,230,238,320,6,29,13,836
2061,0,0,0,0,0,0,0
2063,496,196,518,10,58,21,1299
2064,0,0,0,0,0,0,0
2065,530,636,633,13,97,37,1946
2066,53,107,55,3,12,0,230
2067,560,543,698,22,65,27,1915
2068,0,0,0,0,0,0,0
2069,0,0,0,0,0,0,0
2070,0,0,0,0,0,0,0
2072,104,152,99,2,17,3,377
2073,834,603,1047,19,133,49,2685
2074,1107,773,1263,29,131,62,3365
2075,0,0,0,0,0,0,0
2077,478,232,587,4,54,33,1388
2078,0,0,0,0,0,0,0
2079,55,181,95,2,14,4,351
2080,95,291,135,4,18,5,548
2081,25,27,20,0,4,0,76
2082,597,865,657,19,115,29,2282
2086,1066,539,1520,24,146,94,3389
2087,1550,675,1645,26,167,88,4151
2088,686,312,781,14,84,36,1913
2126,985,601,1081,18,132,52,2869
2352,1054,1282,936,24,188,46,3530
2356,0,0,0,0,0,0,0
2360,1195,430,961,11,113,67,2777
2371,588,378,548,13,69,19,1615
2372,1061,704,1061,15,122,57,3020
2384,200,120,239,5,34,6,604
2387,1077,639,1225,19,139,61,3160
2399,924,548,1015,17,94,63,2661
2417,184,105,484,8,44,12,837
2430,557,291,697,14,58,33,1650
2440,600,673,372,6,96,12,1759
2444,140,116,151,1,18,11,437
2445,203,108,266,2,22,10,611
2449,891,832,702,16,110,32,2583
2457,887,1065,1020,23,160,52,3207
2464,1210,788,940,7,125,53,3123
2465,815,1427,1606,12,163,48,4071
2466,397,778,726,9,87,27,2024
2468,0,0,0,0,0,0,0
2469,98,353,209,5,31,12,708
2473,196,1777,580,25,92,22,2692
2477,203,692,400,6,75,10,1386
2478,0,0,0,0,0,0,0
2479,1139,758,1374,29,126,46,3472
2480,430,290,403,12,55,25,1215
2486,0,0,0,0,0,0,0
2487,0,0,0,0,0,0,0
2488,0,0,0,0,0,0,0
2489,0,0,0,0,0,0,0
2501,8,30,16,0,2,0,56
2503,3,7,9,0,1,0,20
2511,351,155,376,3,31,20,936
2600,934,1070,1187,48,182,66,3487
2601,9,20,7,0,2,0,38
2602,36,58,31,0,7,1,133
2605,416,526,464,9,80,23,1518
2606,1369,715,1197,22,158,62,3523
2608,0,0,0,0,0,0,0
2611,722,667,958,18,113,43,2521
2612,0,0,0,0,0,0,0
2614,974,1115,1174,29,185,56,3533
2622,490,754,574,18,91,21,1948
2623,0,1,1,0,0,0,2
2625,0,3,2,0,0,0,5
2631,10,15,11,1,0,1,38
2632,41,44,13,1,6,2,107
2633,840,1076,883,14,151,48,3012
2641,1,0,0,0,0,0,1
2642,22,60,29,2,4,3,120
2643,534,903,564,11,109,24,2145
2644,656,1510,760,13,128,38,3105
2645,39,77,31,1,9,1,158
2651,1034,1066,1212,36,172,70,3590
2654,787,1102,708,19,113,30,2759
2662,772,933,922,19,135,44,2825
2663,592,1176,682,16,117,43,2626
2666,1451,1123,1750,34,184,118,4660
2673,40,124,69,1,7,3,244
2675,9,14,11,0,2,0,36
2676,12,13,9,0,2,1,37
2681,3,0,0,0,0,0,3
2682,768,1011,789,18,117,40,2743
2683,0,4,0,0,0,0,4
2684,5,21,9,0,3,0,38
2685,0,0,0,0,0,0,0
2691,9,25,10,0,0,0,44
2693,32,58,49,2,3,3,147
2694,1,0,2,0,0,0,3
2695,795,993,889,20,131,42,2870
2696,20,24,13,2,1,0,60
2700,747,729,779,12,93,50,2410
2703,1,2,3,0,0,0,6
2704,22,33,24,0,4,3,86
2706,0,1,1,0,0,0,2
2709,325,295,316,5,40,16,997
2710,1340,984,1402,29,186,76,4017
2711,566,673,642,16,94,41,2032
2715,1051,588,1045,20,119,50,2873
2717,727,327,743,12,62,52,1923
2720,286,113,418,3,29,19,868
2723,0,0,0,0,0,0,0
2724,3,0,1,0,0,0,4
2725,76,489,219,3,33,6,826
2726,270,1390,683,16,124,28,2511
2730,1218,594,1273,30,127,71,3313
2731,592,1007,1097,7,132,25,2860
2733,1246,544,1468,32,137,101,3528
2737,686,176,657,3,63,42,1627
2740,1038,425,1593,29,152,74,3311
2742,0,0,0,0,0,0,0
2743,1399,710,1366,15,129,93,3712
2746,528,273,584,10,69,39,1503
2751,65,35,96,3,6,10,215
2752,1282,395,1492,17,130,74,3390
2770,66,12,77,2,8,3,168
2775,725,1832,1299,9,205,22,4092
2776,625,1570,1207,12,186,31,3631
3000,965,456,1005,27,103,56,2612
3003,783,428,855,11,91,49,2217
3004,0,0,0,0,0,0,0
3005,1,1,0,0,0,0,2
3006,175,196,158,8,23,9,569
3007,1345,545,1486,26,129,80,3611
3009,1111,654,1324,20,164,94,3367
3011,912,750,1048,19,125,57,2911
3013,725,433,755,14,91,46,2064
3014,752,717,900,18,112,34,2533
3016,707,797,969,9,138,53,2673
3017,1107,941,1291,16,167,58,3580
3018,1080,987,1217,26,148,63,3521
3021,1018,957,1150,23,150,48,3346
3022,1099,1131,1248,26,167,68,3739
3027,1145,995,1381,33,166,81,3801
3030,1142,739,1531,28,149,66,3655
3033,100,39,157,5,14,8,323
3034,382,202,433,9,51,18,1095
3035,49,16,94,3,8,1,171
3036,468,507,386,7,65,12,1445
3037,1010,1162,683,13,155,26,3049
3038,99,49,156,1,10,8,323
3039,764,342,819,9,81,48,2063
3040,714,1054,578,7,121,22,2496
3041,93,22,104,1,10,6,236
3043,749,401,668,12,92,32,1954
3045,612,306,637,7,67,48,1677
3046,0,0,0,0,0,0,0
3047,1,5,3,0,1,0,10
3048,21,50,31,0,6,0,108
3050,345,806,408,13,92,28,1692
3051,4,2,5,0,3,1,15
3053,1,7,1,0,0,0,9
3054,0,0,0,0,0,0,0
3055,1025,895,1168,34,180,61,3363
3056,41,117,53,2,5,5,223
3057,186,409,170,4,40,12,821
3058,756,650,788,16,114,43,2367
3059,1058,1052,1287,39,198,57,3691
3061,247,117,376,6,37,19,802
3062,1067,870,1098,19,161,70,3285
3064,55,134,77,2,14,3,285
3065,16,8,13,0,3,1,41
3066,11,24,16,1,3,0,55
3067,26,59,40,6,0,0,131
3068,464,272,432,8,48,32,1256
3069,146,31,150,5,14,9,355
3070,5,4,3,0,1,1,14
3071,144,310,162,1,41,12,670
3072,35,39,32,0,8,1,115
3074,415,295,446,10,62,25,1253
3151,0,0,0,0,0,0,0
3152,25,43,27,0,3,2,100
3191,0,1,1,0,0,0,2
3217,665,583,777,12,89,46,2172
3361,675,500,630,7,90,40,1942
3363,805,1168,984,22,147,62,3188
3364,479,827,654,16,94,35,2105
3366,962,1163,1048,29,143,48,3393
3370,1165,999,1209,17,178,70,3638
3373,1294,1440,1418,40,198,82,4472
3374,883,981,986,25,165,58,3098
3382,712,855,797,23,145,37,2569
3383,774,1084,585,13,143,17,2616
3385,618,689,564,20,86,28,2005
3391,782,767,719,16,140,32,2456
3392,573,571,618,19,70,26,1877
3414,313,490,420,8,55,12,1298
3417,825,608,973,24,133,48,2611
3418,224,325,233,12,43,12,849
3433,2,0,0,0,0,0,2
3435,1127,901,1154,24,140,70,3416
3439,0,0,2,0,0,0,2
3457,2,2,1,0,0,0,5
3464,757,909,687,14,131,35,2533
3518,1,9,1,0,3,1,15
3532,4,20,11,0,0,1,36
3535,5,12,5,0,3,0,25
3537,0,0,0,0,0,0,0
3540,134,302,185,7,21,10,659
3544,404,558,448,10,83,34,1537
3545,0,0,0,0,0,0,0
3546,1348,1300,1754,47,193,81,4723
3547,675,862,692,21,118,40,2408
3552,0,0,0,0,0,0,0
3553,0,0,0,0,0,0,0
3557,697,745,886,21,143,53,2545
3559,0,1,3,0,0,0,4
3562,1,9,4,0,0,0,14
3564,52,149,82,2,10,3,298
3565,849,1077,1210,20,162,48,3366
3571,4,1,0,1,1,0,7
3574,0,0,0,0,0,0,0
3576,803,998,852,23,135,48,2859
3578,11,28,10,0,1,0,50
3579,3,7,4,0,1,0,15
3580,0,0,0,0,0,0,0
3581,0,1,0,0,0,0,1
3582,0,0,0,0,0,0,0
3583,482,610,650,18,109,17,1886
3584,0,3,3,0,0,0,6
3585,0,0,0,0,0,0,0
3586,0,0,0,0,0,0,0
3587,775,1034,924,26,147,40,2946
3588,971,1151,1174,40,163,48,3547
3602,831,848,854,23,131,51,2738
3604,1110,780,1354,26,153,79,3502
3605,150,434,372,16,46,16,1034
3606,1221,1191,1388,31,186,72,4089
3607,759,448,924,25,118,41,2315
3609,356,825,514,14,82,26,1817
3611,0,0,0,0,0,0,0
3612,0,0,0,0,0,0,0
3613,580,367,636,16,73,41,1713
3700,113,130,140,2,21,3,409
3705,355,480,454,9,63,15,1376
3706,1084,1242,1472,34,187,68,4087
3709,243,412,400,12,68,19,1154
3710,206,263,172,6,32,14,693
3712,0,2,0,0,0,0,2
3713,26,18,14,0,0,3,61
3714,14,20,16,0,2,0,52
3715,431,1073,447,15,112,25,2103
3716,1,1,2,0,0,0,4
3717,286,498,307,12,61,18,1182
3719,1271,1108,1354,36,191,79,4039
3724,1369,940,1440,25,179,76,4029
3725,3,6,3,0,0,0,12
3727,714,1037,534,6,113,23,2427
3729,418,464,457,14,53,27,1433
3730,762,589,881,22,137,45,2436
3731,0,3,6,0,0,0,9
3732,1052,905,1103,28,145,66,3299
3735,37,42,13,0,2,2,96
3736,7,31,9,1,2,0,50
3737,0,0,0,0,0,0,0
3740,1091,1681,1627,22,184,88,4693
3745,0,0,0,0,0,0,0
3747,893,739,881,16,137,39,2705
3748,766,948,783,17,119,40,2673
3750,0,0,3,0,0,0,3
3753,164,74,233,8,23,12,514
3754,1136,517,1385,26,112,70,3246
3755,846,579,872,29,92,43,2461
3757,281,591,305,5,54,19,1255
3758,63,189,90,2,19,7,370
3762,1165,700,1299,25,143,70,3402
3763,150,139,105,3,20,11,428
3764,1350,876,1489,32,176,74,3997
3765,825,433,942,21,106,48,2375
3766,732,897,789,16,104,39,2577
3767,4,34,7,0,2,1,48
3769,402,354,408,7,60,32,1263
3771,401,266,442,8,34,25,1176
3773,587,303,638,8,67,45,1648
3776,0,0,0,0,0,0,0
3777,0,4,3,1,0,0,8
3778,0,0,0,0,0,0,0
3779,0,0,0,0,0,0,0
3780,549,675,560,16,84,28,1912
3781,838,873,1012,32,134,65,2954
3786,7,14,9,0,2,1,33
3787,540,504,573,16,95,30,1758
3793,1249,1550,2001,26,231,76,5133
3800,1037,1058,1047,27,164,50,3383
3863,1138,786,1168,19,156,94,3361
3875,0,0,0,0,0,0,0
3881,0,0,0,0,0,0,0
4000,547,231,588,16,63,38,1483
4001,156,117,235,4,12,10,534
4002,51,46,53,2,4,4,160
4003,3,1,2,0,0,0,6
4004,0,0,0,0,0,0,0
4005,16,3,5,0,1,1,26
4006,10,20,29,2,2,1,64
4007,506,258,551,9,67,32,1423
4008,431,151,427,7,30,16,1062
4009,520,208,549,11,44,44,1376
4010,1268,819,1125,32,123,46,3413
4011,462,314,516,13,60,22,1387
4012,908,739,802,20,134,45,2648
4013,1667,739,1669,29,180,84,4368
4014,0,0,0,0,0,0,0
4015,0,0,0,0,0,0,0
4017,1590,233,1020,13,91,76,3023
4018,223,231,252,17,29,4,756
4019,1223,400,1553,24,174,92,3466
4020,711,325,890,27,101,40,2094
4021,462,279,442,15,41,28,1267
4022,872,448,897,12,95,46,2370
4024,1028,307,985,6,84,55,2465
4026,15,8,25,0,3,2,53
4027,923,350,1027,20,108,63,2491
4028,1296,192,983,10,107,71,2659
4030,1265,269,1125,20,163,101,2943
4031,160,29,223,2,23,10,447
4032,609,297,516,13,73,32,1540
4034,301,115,352,6,44,19,837
4035,569,175,728,8,49,35,1564
4036,1111,309,1015,19,73,59,2586
4037,574,146,746,10,57,35,1568
4038,0,0,0,0,0,0,0
4039,0,0,0,0,0,0,0
4040,491,230,658,15,110,54,1558
4041,0,0,0,0,0,0,0
4043,347,150,351,2,24,13,887
4044,1506,630,1525,23,167,77,3928
4045,257,109,248,7,36,11,668
